IdNumber,LocalFirstName,LocalLastName,EnglishFirstName,EnglishLastName,Phone,BirthDate,IsFemale,NationalRank,EuropeInternationalRank,YouthInternationalRank,IPIN,Country
23,שחקן 25,כהן,Player #13,Cohen,3334445554,1980-11-27,FALSE,25,28,48,ALB1000258,Israel
24,שחקן 26,כהן,Player#14,Cohen,3334445554,1980-11-27,FALSE,26,29,49,ALB1000259,Israel
25,שחקן 27,כהן,Player #14,Cohen,3334445554,1980-11-27,FALSE,27,30,50,ALB1000260,Israel
26,שחקן 28,כהן,Player#15,Cohen,3334445554,1980-11-27,FALSE,28,31,51,ALB1000261,Israel
27,שחקן 29,כהן,Player #15,Cohen,3334445554,1980-11-27,FALSE,29,32,52,ALB1000262,Israel
28,שחקן 30,כהן,Player#16,Cohen,3334445554,1980-11-27,FALSE,30,33,53,ALB1000263,Israel
29,שחקן 31,כהן,Player #16,Cohen,3334445554,1980-11-27,FALSE,31,34,54,ALB1000264,Israel
30,שחקן 32,כהן,Player#17,Cohen,3334445554,1980-11-27,FALSE,32,35,55,ALB1000265,Israel
31,שחקן 33,כהן,Player #17,Cohen,3334445554,1980-11-27,FALSE,33,36,56,ALB1000266,Israel
32,שחקן 34,כהן,Player#18,Cohen,3334445554,1980-11-27,FALSE,34,37,57,ALB1000267,Israel
33,שחקן 35,כהן,Player #18,Cohen,3334445554,1980-11-27,FALSE,35,38,58,ALB1000268,Israel
34,שחקן 36,כהן,Player#19,Cohen,3334445554,1980-11-27,FALSE,36,39,59,ALB1000269,Israel
35,שחקן 37,כהן,Player #19,Cohen,3334445554,1980-11-27,FALSE,37,40,60,ALB1000270,Israel
36,שחקן 38,כהן,Player#20,Cohen,3334445554,1980-11-27,FALSE,38,41,61,ALB1000271,Israel
37,שחקן 39,כהן,Player #20,Cohen,3334445554,1980-11-27,FALSE,39,42,62,ALB1000272,Israel
38,שחקן 40,כהן,Player#21,Cohen,3334445554,1980-11-27,FALSE,40,43,63,ALB1000273,Israel
39,שחקן 41,כהן,Player #21,Cohen,3334445554,1980-11-27,FALSE,41,44,64,ALB1000274,Israel
40,שחקן 42,כהן,Player#22,Cohen,3334445554,1980-11-27,FALSE,42,45,65,ALB1000275,Israel
41,שחקן 43,כהן,Player #22,Cohen,3334445554,1980-11-27,FALSE,43,46,66,ALB1000276,Israel
42,שחקן 44,כהן,Player#23,Cohen,3334445554,1980-11-27,FALSE,44,47,67,ALB1000277,Israel
43,שחקן 45,כהן,Player #23,Cohen,3334445554,1980-11-27,FALSE,45,48,68,ALB1000278,Israel
44,שחקן 46,כהן,Player#24,Cohen,3334445554,1980-11-27,FALSE,46,49,69,ALB1000279,Israel
45,שחקן 47,כהן,Player #24,Cohen,3334445554,1980-11-27,FALSE,47,50,70,ALB1000280,Israel
46,שחקן 48,כהן,Player#25,Cohen,3334445554,1980-11-27,FALSE,48,51,71,ALB1000281,Israel
47,שחקן 49,כהן,Player #25,Cohen,3334445554,1980-11-27,FALSE,49,52,72,ALB1000282,Israel
48,שחקן 50,כהן,Player#26,Cohen,3334445554,1980-11-27,FALSE,50,53,73,ALB1000283,Israel
49,שחקן 51,כהן,Player #26,Cohen,3334445554,1980-11-27,FALSE,51,54,74,ALB1000284,Israel
50,שחקן 52,כהן,Player#27,Cohen,3334445554,1980-11-27,FALSE,52,55,75,ALB1000285,Israel
51,שחקן 53,כהן,Player #27,Cohen,3334445554,1980-11-27,FALSE,53,56,76,ALB1000286,Israel
52,שחקן 54,כהן,Player#28,Cohen,3334445554,1980-11-27,FALSE,54,57,77,ALB1000287,Israel
53,שחקן 55,כהן,Player #28,Cohen,3334445554,1980-11-27,FALSE,55,58,78,ALB1000288,Israel
54,שחקן 56,כהן,Player#29,Cohen,3334445554,1980-11-27,FALSE,56,59,79,ALB1000289,Israel
55,שחקן 57,כהן,Player #29,Cohen,3334445554,1980-11-27,FALSE,57,60,80,ALB1000290,Israel
56,שחקן 58,כהן,Player#30,Cohen,3334445554,1980-11-27,FALSE,58,61,81,ALB1000291,Israel
57,שחקן 59,כהן,Player #30,Cohen,3334445554,1980-11-27,FALSE,59,62,82,ALB1000292,Israel
58,שחקן 60,כהן,Player#31,Cohen,3334445554,1980-11-27,FALSE,60,63,83,ALB1000293,Israel
59,שחקן 61,כהן,Player #31,Cohen,3334445554,1980-11-27,FALSE,61,64,84,ALB1000294,Israel
60,שחקן 62,כהן,Player#32,Cohen,3334445554,1980-11-27,FALSE,62,65,85,ALB1000295,Israel
61,שחקן 63,כהן,Player #32,Cohen,3334445554,1980-11-27,FALSE,63,66,86,ALB1000296,Israel
62,שחקן 64,כהן,Player#33,Cohen,3334445554,1980-11-27,FALSE,64,67,87,ALB1000297,Israel
63,שחקן 65,כהן,Player #33,Cohen,3334445554,1980-11-27,FALSE,65,68,88,ALB1000298,Israel
64,שחקן 66,כהן,Player#34,Cohen,3334445554,1980-11-27,FALSE,66,69,89,ALB1000299,Israel
65,שחקן 67,כהן,Player #34,Cohen,3334445554,1980-11-27,FALSE,67,70,90,ALB1000300,Israel
66,שחקן 68,כהן,Player#35,Cohen,3334445554,1980-11-27,FALSE,68,71,91,ALB1000301,Israel
67,שחקן 69,כהן,Player #35,Cohen,3334445554,1980-11-27,FALSE,69,72,92,ALB1000302,Israel
68,שחקן 70,כהן,Player#36,Cohen,3334445554,1980-11-27,FALSE,70,73,93,ALB1000303,Israel
69,שחקן 71,כהן,Player #36,Cohen,3334445554,1980-11-27,FALSE,71,74,94,ALB1000304,Israel
70,שחקן 72,כהן,Player#37,Cohen,3334445554,1980-11-27,FALSE,72,75,95,ALB1000305,Israel
71,שחקן 73,כהן,Player #37,Cohen,3334445554,1980-11-27,FALSE,73,76,96,ALB1000306,Israel
72,שחקן 74,כהן,Player#38,Cohen,3334445554,1980-11-27,FALSE,74,77,97,ALB1000307,Israel
73,שחקן 75,כהן,Player #38,Cohen,3334445554,1980-11-27,FALSE,75,78,98,ALB1000308,Israel
74,שחקן 76,כהן,Player#39,Cohen,3334445554,1980-11-27,FALSE,76,79,99,ALB1000309,Israel
75,שחקן 77,כהן,Player #39,Cohen,3334445554,1980-11-27,FALSE,77,80,100,ALB1000310,Israel
76,שחקן 78,כהן,Player#40,Cohen,3334445554,1980-11-27,FALSE,78,81,101,ALB1000311,Israel
77,שחקן 79,כהן,Player #40,Cohen,3334445554,1980-11-27,FALSE,79,82,102,ALB1000312,Israel
78,שחקן 80,כהן,Player#41,Cohen,3334445554,1980-11-27,FALSE,80,83,103,ALB1000313,Israel
79,שחקן 81,כהן,Player #41,Cohen,3334445554,1980-11-27,FALSE,81,84,104,ALB1000314,Israel
80,שחקן 82,כהן,Player#42,Cohen,3334445554,1980-11-27,FALSE,82,85,105,ALB1000315,Israel
81,שחקן 83,כהן,Player #42,Cohen,3334445554,1980-11-27,FALSE,83,86,106,ALB1000316,Israel
82,שחקן 84,כהן,Player#43,Cohen,3334445554,1980-11-27,FALSE,84,87,107,ALB1000317,Israel
83,שחקן 85,כהן,Player #43,Cohen,3334445554,1980-11-27,FALSE,85,88,108,ALB1000318,Israel
84,שחקן 86,כהן,Player#44,Cohen,3334445554,1980-11-27,FALSE,86,89,109,ALB1000319,Israel
85,שחקן 87,כהן,Player #44,Cohen,3334445554,1980-11-27,FALSE,87,90,110,ALB1000320,Israel
86,שחקן 88,כהן,Player#45,Cohen,3334445554,1980-11-27,FALSE,88,91,111,ALB1000321,Israel
87,שחקן 89,כהן,Player #45,Cohen,3334445554,1980-11-27,FALSE,89,92,112,ALB1000322,Israel
88,שחקן 90,כהן,Player#46,Cohen,3334445554,1980-11-27,FALSE,90,93,113,ALB1000323,Israel
89,שחקן 91,כהן,Player #46,Cohen,3334445554,1980-11-27,FALSE,91,94,114,ALB1000324,Israel
90,שחקן 92,כהן,Player#47,Cohen,3334445554,1980-11-27,FALSE,92,95,115,ALB1000325,Israel
91,שחקן 93,כהן,Player #47,Cohen,3334445554,1980-11-27,FALSE,93,96,116,ALB1000326,Israel
92,שחקן 94,כהן,Player#48,Cohen,3334445554,1980-11-27,FALSE,94,97,117,ALB1000327,Israel
93,שחקן 95,כהן,Player #48,Cohen,3334445554,1980-11-27,FALSE,95,98,118,ALB1000328,Israel
94,שחקן 96,כהן,Player#49,Cohen,3334445554,1980-11-27,FALSE,96,99,119,ALB1000329,Israel
95,שחקן 97,כהן,Player #49,Cohen,3334445554,1980-11-27,FALSE,97,100,120,ALB1000330,Israel
96,שחקן 98,כהן,Player#50,Cohen,3334445554,1980-11-27,FALSE,98,101,121,ALB1000331,Israel
97,שחקן 99,כהן,Player #50,Cohen,3334445554,1980-11-27,FALSE,99,102,122,ALB1000332,Israel
98,שחקן 100,כהן,Player#51,Cohen,3334445554,1980-11-27,FALSE,100,103,123,ALB1000333,Israel
99,שחקן 101,כהן,Player #51,Cohen,3334445554,1980-11-27,FALSE,101,104,124,ALB1000334,Israel
100,שחקן 102,כהן,Player#52,Cohen,3334445554,1980-11-27,FALSE,102,105,125,ALB1000335,Israel
101,שחקן 103,כהן,Player #52,Cohen,3334445554,1980-11-27,FALSE,103,106,126,ALB1000336,Israel
102,שחקן 104,כהן,Player#53,Cohen,3334445554,1980-11-27,FALSE,104,107,127,ALB1000337,Israel
103,שחקן 105,כהן,Player #53,Cohen,3334445554,1980-11-27,FALSE,105,108,128,ALB1000338,Israel
104,שחקן 106,כהן,Player#54,Cohen,3334445554,1980-11-27,FALSE,106,109,129,ALB1000339,Israel
105,שחקן 107,כהן,Player #54,Cohen,3334445554,1980-11-27,FALSE,107,110,130,ALB1000340,Israel
106,שחקן 108,כהן,Player#55,Cohen,3334445554,1980-11-27,FALSE,108,111,131,ALB1000341,Israel
107,שחקן 109,כהן,Player #55,Cohen,3334445554,1980-11-27,FALSE,109,112,132,ALB1000342,Israel
108,שחקן 110,כהן,Player#56,Cohen,3334445554,1980-11-27,FALSE,110,113,133,ALB1000343,Israel
109,שחקן 111,כהן,Player #56,Cohen,3334445554,1980-11-27,FALSE,111,114,134,ALB1000344,Israel
110,שחקן 112,כהן,Player#57,Cohen,3334445554,1980-11-27,FALSE,112,115,135,ALB1000345,Israel
111,שחקן 113,כהן,Player #57,Cohen,3334445554,1980-11-27,FALSE,113,116,136,ALB1000346,Israel
112,שחקן 114,כהן,Player#58,Cohen,3334445554,1980-11-27,FALSE,114,117,137,ALB1000347,Israel
113,שחקן 115,כהן,Player #58,Cohen,3334445554,1980-11-27,FALSE,115,118,138,ALB1000348,Israel
114,שחקן 116,כהן,Player#59,Cohen,3334445554,1980-11-27,FALSE,116,119,139,ALB1000349,Israel
115,שחקן 117,כהן,Player #59,Cohen,3334445554,1980-11-27,FALSE,117,120,140,ALB1000350,Israel
116,שחקן 118,כהן,Player#60,Cohen,3334445554,1980-11-27,FALSE,118,121,141,ALB1000351,Israel
117,שחקן 119,כהן,Player #60,Cohen,3334445554,1980-11-27,FALSE,119,122,142,ALB1000352,Israel
